Orange Drop 716P,400,0.039,22.9,9.1
Orange Drop 716P,400,0.047,22.9,9.9
Orange Drop 716P,400,0.056,22.9,10.2
Orange Drop 716P,400,0.068,22.9,10.9
Orange Drop 716P,400,0.082,31.8,9.7
Orange Drop 716P,400,0.1,31.8,10.7
Orange Drop 716P,400,0.12,31.8,11.4
Orange Drop 716P,400,0.15,31.8,11.7
Orange Drop 716P,400,0.18,31.8,12.7
Orange Drop 716P,400,0.22,31.8,14.5
Orange Drop 716P,400,0.27,31.8,16
Orange Drop 716P,400,0.33,41.9,14.5
Orange Drop 716P,400,0.39,41.9,15.7
Orange Drop 716P,400,0.47,41.9,17.3
Orange Drop 716P,600,0.001,17.8,6.9
Orange Drop 716P,600,0.0012,17.8,6.1
Orange Drop 716P,600,0.0015,17.8,6.6
Orange Drop 716P,600,0.0018,17.8,6.9
Orange Drop 716P,600,0.0022,17.8,7.1
Orange Drop 716P,600,0.0027,17.8,6.4
Orange Drop 716P,600,0.0033,17.8,6.4
Orange Drop 716P,600,0.0039,17.8,6.6
Orange Drop 716P,600,0.0047,17.8,7.1
Orange Drop 716P,600,0.0056,17.8,7.6
Orange Drop 716P,600,0.0068,17.8,8.1
Orange Drop 716P,600,0.0082,17.8,8.1
Orange Drop 716P,600,0.01,17.8,8.6
Orange Drop 716P,600,0.012,22.9,7.9
Orange Drop 716P,600,0.015,22.9,8.6
Orange Drop 716P,600,0.018,22.9,9.1
Orange Drop 716P,600,0.022,22.9,9.9
Orange Drop 716P,600,0.027,22.9,10.4
Orange Drop 716P,600,0.033,22.9,11.2
Orange Drop 716P,600,0.039,22.9,12.2
Orange Drop 716P,600,0.047,31.8,10.7
Orange Drop 716P,600,0.056,31.8,11.4
Orange Drop 716P,600,0.068,31.8,11.4
Orange Drop 716P,600,0.082,31.8,12.4
Orange Drop 716P,600,0.1,31.8,13.7
Orange Drop 716P,600,0.12,31.8,15
Orange Drop 716P,600,0.15,41.9,14
Orange Drop 716P,600,0.18,41.9,15
Orange Drop 716P,600,0.22,41.9,16.5
Orange Drop 716P,800,0.0056,31.8,6.4
Orange Drop 716P,800,0.0068,31.8,6.9
Orange Drop 716P,800,0.0082,31.8,7.4
Orange Drop 716P,800,0.01,31.8,7.4
Orange Drop 716P,800,0.012,31.8,7.9
Orange Drop 716P,800,0.015,31.8,8.6
Orange Drop 716P,800,0.018,31.8,9.4
Orange Drop 716P,800,0.022,31.8,9.7
Orange Drop 716P,800,0.027,31.8,10.7
Orange Drop 716P,800,0.033,31.8,11.7
Orange Drop 716P,800,0.039,31.8,11.7
Orange Drop 716P,800,0.047,31.8,12.7
Orange Drop 716P,800,0.056,31.8,13.7
Orange Drop 716P,800,0.068,31.8,15
Orange Drop 716P,800,0.082,41.9,13.2
Orange Drop 716P,800,0.1,41.9,14.5
Orange Drop 716P,800,0.12,41.9,15.7
Orange Drop 716P,800,0.14,41.9,17
Orange Drop 716P,1000,0.0056,31.8,6.4
Orange Drop 716P,1000,0.0068,31.8,6.9
Orange Drop 716P,1000,0.0082,31.8,7.4
Orange Drop 716P,1000,0.01,31.8,7.4
Orange Drop 716P,1000,0.012,31.8,7.9
Orange Drop 716P,1000,0.015,31.8,8.6
Orange Drop 716P,1000,0.018,31.8,9.4
Orange Drop 716P,1000,0.022,31.8,9.7
Orange Drop 716P,1000,0.027,31.8,10.7
Orange Drop 716P,1000,0.033,31.8,11.7
Orange Drop 716P,1000,0.039,31.8,11.7
Orange Drop 716P,1000,0.047,31.8,12.7
Orange Drop 716P,1000,0.056,31.8,13.7
Orange Drop 716P,1000,0.068,31.8,15
Orange Drop 716P,1000,0.082,41.9,13.2
Orange Drop 716P,1000,0.1,41.9,14.5
Orange Drop 716P,1000,0.12,41.9,15.7
Orange Drop 716P,1000,0.14,41.9,17

Sprague TVA Atom,6,200,17.45,7.925
Sprague TVA Atom,10,5000,38.1,12.319
Sprague TVA Atom,16,25,12.7,6.35
Sprague TVA Atom,16,50,17.45,6.35
Sprague TVA Atom,16,100,17.45,7.925
Sprague TVA Atom,16,200,20.625,7.925
Sprague TVA Atom,16,250,20.625,9.525
Sprague TVA Atom,16,500,23.8,9.525
Sprague TVA Atom,16,600,31.75,9.525
Sprague TVA Atom,16,800,31.75,9.525
Sprague TVA Atom,16,1000,38.1,9.525
Sprague TVA Atom,16,1200,38.1,11.125
Sprague TVA Atom,16,1500,38.1,11.125
Sprague TVA Atom,16,2000,38.1,12.319
Sprague TVA Atom,16,3000,38.1,12.319
Sprague TVA Atom,16,5000,53.975,25.4
Sprague TVA Atom,16,10000,66.675,31.75
Sprague TVA Atom,25,10,12.7,6.35
Sprague TVA Atom,25,25,12.7,6.35
Sprague TVA Atom,25,50,17.45,6.35
Sprague TVA Atom,25,75,17.45,7.925
Sprague TVA Atom,25,100,20.625,7.925
Sprague TVA Atom,25,150,20.625,9.525
Sprague TVA Atom,25,200,20.625,9.525
Sprague TVA Atom,25,250,23.8,9.525
Sprague TVA Atom,25,500,31.75,11.125
Sprague TVA Atom,25,1000,38.1,12.319
Sprague TVA Atom,25,1500,38.1,12.319
Sprague TVA Atom,25,2000,38.1,12.319
Sprague TVA Atom,25,2500,38.1,12.319
Sprague TVA Atom,25,5000,66.675,28.575
Sprague TVA Atom,35,500,38.1,11.125
Sprague TVA Atom,35,5500,38.1,12.319
Sprague TVA Atom,50,1,12.7,6.35
Sprague TVA Atom,50,2,12.7,6.35
Sprague TVA Atom,50,5,12.7,6.35
Sprague TVA Atom,50,6,12.7,6.35
Sprague TVA Atom,50,10,12.7,6.35
Sprague TVA Atom,50,15,17.45,6.35
Sprague TVA Atom,50,20,17.45,6.35
Sprague TVA Atom,50,25,17.45,6.35
Sprague TVA Atom,50,40,20.625,7.925
Sprague TVA Atom,50,50,20.625,7.925
Sprague TVA Atom,50,75,20.625,9.525
Sprague TVA Atom,50,100,20.625,9.525
Sprague TVA Atom,50,150,23.8,9.525
Sprague TVA Atom,50,200,31.75,9.525
Sprague TVA Atom,50,250,38.1,9.525
Sprague TVA Atom,50,300,31.75,11.125
Sprague TVA Atom,50,400,38.1,12.319
Sprague TVA Atom,50,500,38.1,12.319
Sprague TVA Atom,50,600,38.1,12.319
Sprague TVA Atom,50,1000,38.1,12.319
Sprague TVA Atom,50,1500,38.1,12.319
